CreditSum;age;OrgStanding_N;kolichestvo_detej_mladshe_18;ConfirmedMonthlyIncome (Target)
545218.47;34;7.00;0;15508.82
457313.00;44;4.08;1;36904.00
1368000.00;52;28.42;0;43291.83
569250.00;30;2.58;0;54227.70
31000.00;34;1.17;1;27796.29
113400.00;51;6.83;0;44299.70
503000.00;42;4.50;1;20043.34
236500.00;55;7.00;0;35337.51
712000.00;29;1.08;1;50520.75
31000.00;44;8.50;0;33897.01
47000.00;28;8.25;0;28271.21
31000.00;30;7.67;0;70914.41
50000.00;31;0.50;0;21940.01
400000.00;27;1.83;0;23031.22
31000.00;27;0.58;0;30658.81
532275.00;42;8.08;2;38799.79
102708.00;44;19.58;1;48840.89
31000.00;27;4.17;1;63762.28
1361200.00;35;7.00;0;50317.10
910567.98;47;2.25;0;46052.83
31000.00;22;1.58;0;24696.65
783200.00;51;2.00;0;84460.33
31000.00;47;11.00;1;43940.27
290250.00;26;3.00;0;47646.65
31000.00;30;2.08;1;47038.24
480000.00;55;1.92;0;26100.00
31000.00;30;7.50;0;29061.36
571500.00;46;13.00;1;50318.54
718000.00;37;2.92;0;67090.60
31000.00;27;1.50;0;27685.71
453375.00;53;5.00;0;23195.84
710000.00;31;4.50;1;46756.27
882369.88;29;5.17;0;35766.37
846000.00;49;6.42;0;80040.00
410000.00;22;0.58;0;24920.44
499999.32;22;3.42;0;29215.26
100000.00;40;4.17;2;37367.89
712000.00;55;19.50;0;41182.94
31000.00;33;0.58;0;54952.45
100000.00;26;3.00;0;50604.64
102500.00;54;36.00;0;25416.66
354204.00;32;6.08;0;60195.18
560000.00;25;2.25;2;49673.43
31000.00;35;1.00;3;31585.18
755208.15;26;5.00;0;30049.75
31000.00;21;1.50;0;27523.22
725674.47;33;1.08;0;25011.00
264375.00;35;1.00;3;23486.37
31000.00;31;7.50;1;32103.37
337500.00;34;12.83;0;37231.32
700000.00;43;2.00;1;16812.11
31000.00;51;8.00;0;47915.66
31000.00;34;10.00;2;33491.66
281250.00;50;2.67;0;20610.55
35000.00;43;5.08;1;28864.18
500000.00;30;4.42;0;82420.23
708000.00;38;7.83;2;41959.00
701000.00;46;14.00;0;75935.24
504496.31;28;3.42;0;67452.76
800000.00;32;8.17;1;68934.05
31000.00;35;11.42;1;50216.12
524496.60;26;3.42;0;25588.80
941600.00;23;1.17;0;32748.27
110704.00;56;12.00;0;12669.90
326391.17;57;1.50;0;16095.25
587500.00;37;5.25;1;23027.18
650000.00;24;1.42;0;38007.72
300000.00;26;1.25;0;40790.54
950000.00;30;2.00;1;120672.04
50000.00;56;0.25;1;54235.63
340313.00;28;2.00;0;37551.44
600000.00;39;1.50;2;30836.77
455625.00;30;7.00;2;32053.36
50000.00;23;1.42;0;21909.97
50000.00;28;0.58;0;44969.32
100000.00;26;3.75;0;56454.83
770110.00;40;21.00;1;64355.30
31000.00;44;7.92;1;14110.00
50000.00;36;0.92;0;30891.18
100000.00;45;17.00;2;25700.00
371250.00;31;8.00;1;50055.82
300000.00;37;17.00;2;40038.73
265523.00;30;8.42;1;24653.26
60000.00;41;15.00;1;21166.54
500000.00;39;5.00;2;99341.07
828872.76;24;3.08;0;34233.00
31000.00;24;2.17;0;26153.40
574258.05;60;22.00;0;30502.93
685000.00;37;6.00;1;40251.43
701000.00;58;4.25;0;42594.83
783200.00;33;3.67;1;72688.50
869400.00;33;0.50;2;36549.70
90000.00;46;6.92;0;49552.45
136794.27;24;3.50;0;27469.90
31000.00;50;5.58;0;27646.61
100000.00;40;11.08;2;47175.20
1579900.00;44;24.00;0;58229.46
798000.00;51;1.00;1;57953.48
31000.00;24;0.50;0;21552.68
815000.00;44;0.92;0;53274.62
116850.00;27;0.58;1;40353.22
800000.00;49;18.00;0;37019.00
108334.00;43;2.58;1;50081.25
200000.00;36;1.00;2;66436.26
100000.00;23;1.17;0;24700.27
31000.00;21;2.17;0;18439.27
456500.00;45;15.00;3;36480.36
365971.65;43;4.83;1;32424.41
300000.00;33;8.42;1;32053.60
35000.00;37;10.50;1;57100.00
539458.23;45;9.08;1;21389.00
371771.28;28;6.92;0;23605.56
31000.00;45;26.00;1;30512.27
109113.00;49;3.00;0;19411.85
70000.00;27;3.42;1;61717.69
158800.00;27;5.33;0;26233.13
500000.00;32;1.58;2;73591.00
928400.00;54;21.42;0;52880.08
124300.00;52;4.00;1;27758.10
477096.69;47;1.83;1;27347.40
322500.00;51;33.00;1;24000.00
100000.00;28;5.58;0;46294.00
50000.00;32;0.75;1;27815.10
112500.00;36;5.00;1;25724.17
1488158.03;43;5.42;0;55411.98
781000.00;33;3.42;1;74530.00
62782.29;36;4.50;0;55720.98
408900.00;41;6.00;1;26623.50
480600.00;61;15.67;0;63333.72
100000.00;51;8.00;0;47640.42
50000.00;55;6.00;0;51356.37
701000.00;24;3.00;0;53216.50
950000.00;42;8.67;1;36044.31
770000.00;51;9.17;1;37104.47
112500.00;44;24.75;0;18776.70
300000.00;39;16.00;1;36828.24
50000.00;42;9.58;1;23490.00
712900.00;31;7.00;2;30621.63
150000.00;44;6.17;1;33971.93
1100000.00;50;1.25;0;46014.80
881114.41;46;28.00;0;25304.48
688500.00;56;21.00;0;36934.50
31000.00;40;2.33;1;41296.21
701000.00;37;17.00;0;39499.59
329181.89;28;6.00;0;33470.64
416250.00;33;3.00;0;43758.59
35000.00;35;5.33;2;40812.50
474113.00;29;7.42;2;28388.03
500000.00;48;14.00;0;37907.87
1100000.00;47;24.00;0;42751.00
710000.00;48;4.67;0;48761.27
35000.00;34;6.58;0;48908.10
550000.00;45;5.92;0;64902.53
393402.64;50;21.00;1;50810.44
50000.00;30;3.00;0;28252.09
708000.00;56;27.00;0;27083.00
210000.00;42;1.17;1;33975.39
558000.00;23;1.50;0;34012.15
35000.00;35;1.00;1;32190.00
50000.00;47;14.75;0;77152.32
107500.00;44;20.50;0;42501.02
31000.00;31;9.08;0;30562.29
296043.60;26;2.08;0;21504.08
560000.00;47;20.42;0;15356.83
520000.00;53;6.00;1;35778.64
31000.00;29;5.00;0;30044.28
990000.00;54;33.33;0;34991.08
830000.00;47;12.08;0;25880.34
31000.00;24;3.83;1;19774.83
200000.00;41;20.00;1;61691.71
900000.00;45;0.50;1;71308.15
35000.00;45;8.25;0;45248.34
31000.00;26;3.25;0;33771.36
517968.17;60;13.00;0;13999.19
159188.00;39;5.25;1;24155.80
31000.00;22;1.17;0;24612.18
31000.00;24;1.42;0;25092.29
384924.29;54;3.00;0;21741.39
384924.29;48;3.67;0;20198.52
446100.00;44;10.00;0;25600.16
406596.97;36;6.00;3;46707.17
426400.00;44;4.00;3;27592.34
487000.00;49;2.92;0;19196.98
309834.38;36;5.17;0;30737.62
797762.18;41;23.00;2;38193.18
31000.00;31;9.00;1;50881.51
50000.00;33;8.17;1;50218.34
427500.00;27;1.58;0;37453.16
100000.00;27;6.92;0;30363.00
770000.00;52;4.92;0;29393.30
31000.00;40;5.67;0;20991.90
715000.00;30;0.58;0;51905.30
265575.07;41;18.00;2;31043.88
1540300.00;29;0.58;1;48584.61
670367.50;51;12.00;0;58431.89
107022.00;56;36.00;0;27350.93
250000.00;39;11.00;1;187240.40
605000.00;56;2.75;1;33350.80
189299.42;30;9.00;2;24648.27
31000.00;31;8.00;0;25615.55
268900.00;25;0.50;1;34163.50
50000.00;26;0.50;0;25752.67
31000.00;39;1.50;0;33651.87
142500.00;32;1.42;1;30271.41
31000.00;24;1.17;0;23337.31
512000.00;57;0.67;0;20206.42
980000.00;55;14.25;0;138330.00
435800.00;41;15.00;1;30747.74
100000.00;44;4.00;1;53259.00
31000.00;31;0.92;0;26955.73
100000.00;29;0.92;2;26907.94
400000.00;26;1.08;0;26620.00
360474.55;47;2.00;0;23352.26
140187.33;26;1.08;0;21749.52
50000.00;52;2.08;0;74922.06
1200000.00;34;0.83;1;58985.00
35000.00;47;2.92;1;119662.42
31000.00;27;7.92;0;28775.14
309450.00;39;20.00;1;30323.05
309450.00;41;1.50;1;42490.88
1074962.14;32;4.83;2;198303.00
50000.00;53;19.50;0;51497.45
761815.15;40;3.42;1;63874.70
100000.00;31;4.00;0;159168.13
675000.00;48;13.00;0;25457.25
31000.00;53;0.75;0;21473.22
709450.00;30;4.08;2;37857.82
133521.00;57;25.00;0;41220.58
214500.00;42;10.75;1;38221.06
1133182.71;55;6.00;0;32725.25
31000.00;28;4.83;0;23235.18
596900.00;31;8.00;1;27902.36
505000.00;23;3.00;0;23784.98
50000.00;27;1.17;0;26991.00
266785.45;44;6.50;0;26238.24
31000.00;31;1.17;2;50299.97
108360.00;44;11.00;1;16925.85
50000.00;33;4.92;1;45539.54
703000.00;26;6.75;0;34956.91
550000.00;31;7.58;2;43114.30
550000.00;35;4.50;1;41325.25
712000.00;49;31.25;1;12299.95
712000.00;55;3.50;1;26509.00
600000.00;53;30.17;0;34682.86
198932.06;57;15.42;0;12618.32
31000.00;49;21.00;0;22701.34
300000.00;36;0.83;2;14818.75
1500000.00;41;3.67;3;54810.00
31000.00;29;1.00;0;23682.04
750000.00;46;4.00;0;23692.30
853440.00;51;2.75;0;104256.26
100000.00;31;3.50;2;46049.67
112875.00;25;1.50;0;50450.19
1000000.00;55;34.25;1;39643.02
587500.00;57;2.42;0;33324.56
1285255.23;32;2.00;0;22375.25
500000.00;34;6.33;0;22499.98
743060.00;51;10.50;0;31161.92
40000.00;44;0.50;0;16874.00
1246300.00;44;6.17;0;65632.00
1143203.26;46;12.00;1;187305.81
50000.00;48;0.42;0;44401.78
100000.00;29;4.33;1;117226.75
35000.00;40;5.00;0;21658.11
300000.00;34;4.17;0;49698.92
247842.28;61;21.00;0;23390.78
293190.71;26;4.50;0;38666.18
300000.00;24;0.42;0;23372.11
500000.00;31;6.58;1;53083.59
200000.00;26;6.00;0;37654.08
167473.39;57;14.00;0;45839.31
508000.00;53;31.00;1;19058.33
825000.00;31;1.75;2;116835.88
31000.00;28;1.00;1;13600.00
50000.00;38;5.00;1;23801.98
100000.00;27;4.67;1;50000.00
750000.00;58;13.00;0;34376.76
50000.00;33;4.08;2;24503.81
360000.00;30;2.67;0;15826.75
313946.88;37;9.00;2;27363.96
946527.95;40;8.00;1;44936.27
235718.60;25;5.00;0;30000.00
174150.00;32;7.58;2;34400.00
587500.00;56;30.00;0;27785.43
977317.00;52;27.00;0;51715.70
400000.00;32;2.00;0;35936.41
980000.00;40;2.00;2;219143.58
877668.00;58;10.00;0;26742.73
775500.00;30;3.50;1;49614.49
100000.00;27;4.50;0;23816.39
327000.00;23;3.33;0;22697.48
233000.00;42;3.00;0;13555.28
31000.00;23;0.67;0;24440.97
730853.60;55;0.83;0;17853.25
1140000.00;40;20.17;1;57686.57
805000.00;46;6.00;0;36704.61
173000.00;45;0.75;0;20004.52
400000.00;51;5.50;0;22367.95
31000.00;44;28.00;1;65883.43
712000.00;52;30.00;0;18135.88
100000.00;35;1.58;1;40473.00
456520.00;50;6.00;0;28773.00
701000.00;56;8.00;0;27321.54
104200.00;23;1.08;0;22792.81
592435.00;36;2.33;0;47924.26
100000.00;39;2.00;1;30632.00
31000.00;26;0.67;0;31219.23
789897.00;59;6.33;0;26264.52
1140000.00;52;34.00;0;16505.06
31000.00;28;2.00;0;41955.33
868053.55;39;16.00;3;143357.80
590000.00;39;5.00;2;37393.66
431861.05;41;0.67;2;63449.99
306000.00;27;7.33;0;29197.44
2200000.00;59;5.00;0;139238.16
248000.00;51;1.08;0;58570.79
322500.00;24;3.00;0;49507.66
100000.00;41;14.00;1;10788.80
300000.00;27;1.00;0;60867.15
543300.00;31;0.83;2;39150.00
50000.00;28;6.00;2;25660.86
1000000.00;45;4.00;1;48402.10
158228.36;57;4.75;0;8988.41
220375.00;54;2.00;0;31000.00
500000.00;25;2.42;0;22960.97
71896.00;33;1.50;0;34058.88
236500.00;43;6.00;0;56629.90
147000.00;22;3.25;0;27712.36
50000.00;46;15.00;1;34457.88
450000.00;52;9.00;2;62946.96
499500.00;58;11.00;0;12736.54
806200.00;30;2.00;0;28166.83
591025.00;42;3.00;0;35044.96
263190.45;53;5.33;0;33700.65
707388.94;35;5.00;2;19707.24
100000.00;33;1.25;1;62877.12
230625.00;28;0.92;0;19343.00
450000.00;26;3.42;0;39984.57
790000.00;27;7.33;1;27502.86
500000.00;25;2.17;0;47591.43
100000.00;41;2.50;1;59263.00
562500.00;47;6.42;0;47408.60
1075000.00;53;12.50;1;82650.00
550000.00;27;0.67;0;16198.85
225000.00;31;8.33;1;34647.75
247500.00;46;1.42;1;49590.00
820000.00;47;16.00;1;36710.20
107500.00;39;3.25;3;36576.25
50000.00;50;0.83;0;38630.03
912000.00;35;13.00;1;64082.26
500000.00;41;0.50;2;35816.12
700000.00;52;5.33;2;22930.00
51354.00;44;24.00;1;45601.86
31000.00;24;1.50;0;30848.15
857000.00;26;2.00;0;28461.01
31000.00;32;10.75;0;53912.10
1452977.85;36;14.83;1;57968.57
1452977.85;32;2.00;1;29724.65
363375.00;40;6.00;1;34220.00
31000.00;27;0.67;0;14026.33
375000.00;58;2.00;0;15922.57
70000.00;35;5.33;0;44533.35
550000.00;37;17.00;1;36083.25
110725.00;45;4.83;0;36115.87
31000.00;34;6.00;2;40000.00
110725.00;50;4.00;2;31246.42
225000.00;22;1.25;0;33408.22
455625.00;44;4.00;0;48908.13
335700.00;47;7.00;2;31767.83
1039680.00;34;5.50;2;32532.67
112500.00;42;17.33;2;29760.38
611918.00;53;3.92;0;39414.08
944850.81;47;10.92;0;69600.00
450000.00;30;5.00;0;37468.85
150000.00;33;13.00;1;22746.25
411250.00;47;3.83;0;68588.25
295500.00;50;3.00;0;14991.78
31000.00;38;9.50;1;43899.22
31000.00;31;3.00;2;30000.00
450000.00;32;11.00;1;31651.00
335500.00;24;2.00;0;35499.00
500000.00;37;3.75;0;20346.04
50000.00;43;1.58;0;33366.28
273349.26;54;11.00;0;30452.84
622500.00;30;5.08;0;41760.00
200000.00;31;4.00;1;42473.67
400000.00;51;10.00;0;23663.70
31000.00;51;2.00;0;18766.44
508000.00;39;5.33;3;67222.94
35000.00;47;7.42;0;67010.61
900000.00;48;4.00;1;66894.00
31000.00;26;4.00;1;28232.72
166034.00;43;18.67;1;34671.44
231977.66;35;2.42;1;52811.60
50000.00;48;8.00;1;42835.76
224991.00;22;0.58;0;17242.40
520000.00;41;0.92;1;43500.00
154062.00;42;18.00;0;130854.00
687400.00;31;1.50;0;40126.29
458496.00;33;6.00;0;17524.88
250000.00;50;11.00;0;21365.02
31000.00;29;1.33;0;37978.47
562500.00;28;0.50;1;51460.50
450000.00;39;2.00;3;39585.00
102708.00;62;15.17;0;48684.71
244744.86;39;15.00;3;22975.90
275388.41;54;3.00;0;11286.00
954000.00;53;5.00;0;29136.49
705000.00;53;1.00;0;26338.20
455700.00;56;18.00;0;24799.45
505000.00;51;1.75;0;19166.00
250000.00;35;6.00;0;40405.42
150000.00;38;4.83;0;40554.67
353855.00;27;3.83;0;36361.40
326250.00;49;24.00;0;19092.42
157500.00;58;1.33;0;25396.40
562500.00;45;0.58;0;33400.00
35000.00;54;10.00;0;43089.00
310000.00;23;0.67;0;17126.53
31000.00;37;14.00;2;29234.25
539800.00;30;5.00;0;26604.00
1912500.00;53;3.67;0;123409.00
299695.00;35;2.17;1;29980.43
562500.00;50;5.00;0;38535.11
507882.00;58;1.00;0;35841.90
759875.20;33;0.92;0;22783.68
460000.00;58;9.58;0;31863.67
709000.00;52;29.00;0;112461.21
105276.00;33;6.00;0;34064.00
223250.00;32;1.17;2;50000.00
50000.00;54;7.75;0;57778.30
136900.00;32;7.58;2;48198.00
31000.00;39;4.00;1;19261.10
606000.00;52;26.00;0;19008.93
722000.00;26;1.75;0;65499.53
50000.00;22;0.67;0;26337.18
281250.00;31;3.00;1;27175.03
35000.00;45;3.83;0;150510.00
500000.00;34;1.50;2;24923.01
712000.00;35;14.58;0;25560.31
367500.00;55;16.00;0;56614.24
117500.00;39;5.42;0;35286.09
708000.00;56;34.33;0;134342.22
373800.00;30;6.42;1;27840.00
331500.00;56;8.33;0;39148.29
701000.00;40;17.92;1;49172.97
797700.00;31;6.75;2;39696.17
290250.00;22;0.75;0;30747.02
600000.00;52;11.92;0;27575.99
700000.00;55;2.42;0;40804.35
104250.00;30;0.83;0;39670.00
500000.00;52;16.00;0;8869.17
800000.00;49;8.00;1;169832.00
537000.00;57;0.75;0;18311.22
247500.00;49;4.17;0;48222.53
363000.00;53;10.00;0;23384.16
339750.00;23;0.33;0;35793.30
1161599.91;48;1.08;0;37264.50
778250.00;37;10.00;2;45697.80
70000.00;30;4.08;0;31402.39
100000.00;41;17.00;1;25015.82
605028.85;29;5.50;1;22189.37
442900.00;40;2.00;3;29127.06
100000.00;37;14.00;2;236792.07
35000.00;52;6.00;0;28000.00
1300000.00;48;13.00;0;54550.09
565313.00;57;21.00;0;19723.91
515000.00;51;26.00;0;28490.80
31000.00;32;8.50;2;49658.67
800391.09;42;2.75;0;86191.05
35000.00;47;5.17;0;14090.00
50000.00;51;6.00;0;14702.08
500000.00;55;38.00;0;21305.41
610000.00;31;2.00;2;30145.38
1000000.00;56;0.83;0;55752.50
660463.90;37;3.50;1;39150.00
983900.00;34;3.58;1;28528.56
701000.00;27;4.00;1;46566.92
293750.00;53;0.83;0;25612.21
333250.00;43;8.00;1;29056.75
500000.00;56;3.00;0;34181.00
137524.16;47;12.00;1;30737.59
429268.31;41;11.25;1;42630.00
900000.00;43;24.00;1;38628.00
750600.00;35;10.00;2;50841.66
300000.00;49;30.08;0;25284.13
537500.00;48;17.67;0;22795.27
326900.00;36;0.67;1;26538.90
497950.00;46;26.00;1;32619.42
541352.98;40;1.50;1;122487.03
702500.00;59;0.58;0;36680.50
710000.00;38;5.00;2;57855.00
247229.59;31;3.00;2;36023.80
226632.00;59;1.33;0;8084.26
31000.00;27;3.25;1;24982.36
500000.00;29;5.17;0;37210.60
114870.00;23;1.17;0;26719.42
35000.00;31;2.83;0;50451.00
100000.00;27;1.50;0;24251.41
40000.00;25;2.08;0;60635.70
100000.00;22;1.58;0;29686.01
2000000.00;38;0.67;1;120301.31
1500000.00;33;4.25;1;83956.87
175000.00;34;3.00;2;39363.70
31000.00;50;14.00;1;38049.40
562500.00;57;0.33;0;16153.00
105000.00;39;7.50;1;23495.78
600000.00;36;9.25;2;26723.82
708000.00;56;36.00;0;34800.00
701000.00;39;0.75;2;52723.51
200000.00;49;15.33;0;30778.03
708000.00;52;32.00;0;33167.90
669634.07;32;0.42;0;62507.18
500000.00;43;5.33;0;27612.89
31000.00;38;12.58;2;38300.10
215000.00;29;10.00;0;25499.82
614500.00;47;12.00;0;24011.92
780100.00;40;12.00;1;34653.34
50000.00;56;20.00;0;160088.10
459450.00;36;6.00;2;62551.79
100000.00;46;3.92;0;19131.17
135000.00;25;1.00;1;16275.53
706000.00;42;14.08;2;44412.73
701000.00;27;1.17;0;39150.00
31000.00;40;21.00;1;46698.23
161438.00;39;6.50;1;39750.00
626407.91;59;0.92;0;18023.53
800000.00;37;15.00;3;24590.34
800000.00;37;15.00;3;30925.66
202211.69;39;9.33;0;40667.72
50000.00;49;1.83;0;40387.95
283152.25;49;6.00;0;31420.78
31000.00;23;2.33;0;30410.27
900000.00;32;12.58;2;44599.16
701000.00;43;19.00;1;19994.38
347000.00;44;1.00;0;50283.41
1493188.16;44;23.00;1;66723.74
31000.00;49;6.00;0;80040.00
606700.00;47;24.00;1;40228.17
52500.00;32;1.17;2;35730.02
553000.00;55;6.92;2;34654.14
31000.00;43;10.83;1;31972.29
508000.00;33;10.00;2;30836.42
207000.00;51;5.00;0;15225.00
31000.00;43;7.17;0;21838.42
474000.00;44;17.17;0;43689.21
587500.00;58;39.00;0;36931.26
50000.00;31;5.75;0;49454.86
50000.00;41;5.00;1;33772.96
600000.00;43;2.17;1;37555.00
1375000.00;35;6.75;3;103100.00
515000.00;55;10.00;0;31315.74
500000.00;39;11.00;1;58212.50
500000.00;45;20.00;1;40729.33
939500.00;39;8.17;1;93307.73
512000.00;35;6.00;0;39184.71
105000.00;27;9.33;0;28768.84
107500.00;30;1.67;0;54228.91
522334.66;33;2.00;4;32913.14
550000.00;40;14.00;1;38751.18
500000.00;57;3.00;0;20445.00
377400.00;34;0.33;3;36990.49
458250.00;26;2.00;0;36118.16
168750.00;43;6.33;1;36609.71
1232000.00;58;24.83;0;77636.78
453375.00;39;5.00;4;52935.54
442115.60;44;5.17;1;39308.04
1547875.10;40;3.92;3;50478.50
712125.00;55;3.75;0;39303.43
636000.00;30;1.08;1;60357.00
100000.00;28;9.00;1;132663.88
300000.00;32;3.00;1;21040.82
459000.00;36;9.00;1;47629.05
506250.00;38;16.00;1;31372.10
499375.00;38;4.00;3;117102.80
95768.44;29;1.58;1;90018.52
340875.00;22;0.67;0;33435.16
520413.90;38;7.00;2;36520.87
400000.00;32;5.08;2;40352.20
592435.00;52;20.00;0;41076.07
200000.00;57;2.33;0;27419.67
764500.00;57;16.00;0;34235.97
704000.00;30;12.00;2;123134.22
160000.00;51;4.00;0;23562.34
1685000.00;28;1.25;0;76635.00
704200.00;32;8.00;0;61124.60
754185.32;35;6.00;1;36759.40
231400.00;51;17.00;0;7689.14
1000000.00;33;10.00;2;72746.74
1000000.00;36;2.50;1;76825.92
1149500.00;53;32.83;0;52475.29
855000.00;30;11.00;0;44915.36
